名称,图片链接,价格范围,最低价格,最高价格,车型清单
探岳,//img2.bitautoimg.com/autoalbum/files/20191203/330/0341563309_6.jpg,18.59-31.39万,18.59万,31.39万,"['2019款征途版 280TSI 双离合 两驱 舒适型 国VI  指导价：18.59万', '2019款征途版 280TSI 双离合 两驱 豪华型 国VI  指导价：20.29万', '2019款380TSI 双离合 四驱 R-Line 国Ⅵ  指导价：26.09万', '2019款380TSI 双离合 四驱 尊贵型 国VI  指导价：28.49万', '2019款380TSI 双离合 四驱 旗舰型 国VI  指导价：31.39万', '2019款330TSI 双离合 两驱 舒适型 国VI  指导价：20.19万', '2019款330TSI 双离合 两驱 豪华型 国VI  指导价：21.89万', '2019款330TSI 双离合 四驱 豪华型 国VI  指导价：23.39万', '2019款330TSI 双离合 两驱 尊贵型 国VI  指导价：24.99万', '2019款330TSI 双离合 四驱 尊贵型 国VI  指导价：26.59万', '2019款330TSI 双离合 两驱 豪华型Plus 国VI  指导价：23.04万', '2019款330TSI 双离合 四驱 豪华型Plus 国VI  指导价：24.54万', '2020款280TSI 双离合 两驱 舒适智联版  指导价：18.69万', '2020款280TSI 双离合 两驱 豪华智联版  指导价：20.49万', '2020款330TSI 双离合 两驱 豪华智联版  指导价：22.09万', '2020款330TSI 双离合 两驱 豪华智联版Pro  指导价：23.99万', '2020款380TSI 双离合 四驱 R-Line智联版  指导价：24.99万', '2020款380TSI 双离合 四驱 豪华智联版Pro  指导价：26.49万']"
途岳,//img2.bitautoimg.com/autoalbum/files/20190114/700/0426047002_6.png,16.58-22.38万,16.58万,22.38万,"['2020款280TSI 双离合 两驱 风尚版 国VI  指导价：16.58万', '2020款280TSI 双离合 两驱 舒适版 国VI  指导价：18.28万', '2020款280TSI 双离合 两驱 R-Line 国VI  指导价：18.88万', '2020款280TSI 双离合 两驱 豪华版 国VI  指导价：18.88万', '2020款280TSI 双离合 两驱 旗舰版 国VI  指导价：20.48万', '2020款330TSI 双离合 四驱 豪华版 国VI  指导价：20.88万', '2020款330TSI 双离合 四驱 旗舰版 国VI  指导价：22.38万', '2020款280TSI 双离合 两驱 风尚版 国V  指导价：16.58万', '2020款280TSI 双离合 两驱 舒适版 国V  指导价：18.28万', '2020款280TSI 双离合 两驱 R-Line 国V  指导价：18.88万', '2020款280TSI 双离合 两驱 豪华版 国V  指导价：18.88万', '2020款280TSI 双离合 两驱 旗舰版 国V  指导价：20.48万', '2020款280TSI 双离合 两驱 豪华版Plus 国V  指导价：18.98万', '2020款280TSI 双离合 两驱 豪华版Plus 国VI  指导价：18.98万', '2020款330TSI 双离合 四驱 豪华版Plus 国VI  指导价：20.98万']"
途观L,//img4.bitautoimg.com/autoalbum/files/20190104/175/0310091757_6.png,21.88-31.18万,21.88万,31.18万,"['2019款280TSI 双离合 两驱 全景舒适版 国V  指导价：22.18万', '2019款330TSI 双离合 两驱 风尚版 国V  指导价：21.88万', '2019款330TSI 双离合 两驱 全景舒适版 国V  指导价：24.08万', '2019款330TSI 双离合 两驱 智动豪华版 国V  指导价：25.38万', '2019款330TSI 双离合 两驱 R-Line旗舰版 国V  指导价：26.98万', '2019款280TSI 双离合 两驱 全景舒适版 国VI  指导价：22.18万', '2019款330TSI 双离合 两驱 风尚版 国VI  指导价：21.88万', '2019款330TSI 双离合 两驱 全景舒适版 国VI  指导价：24.08万', '2019款330TSI 双离合 两驱 智动豪华版 国VI  指导价：25.38万', '2019款330TSI 双离合 两驱 R-Line旗舰版 国VI  指导价：26.98万', '2019款380TSI 双离合 四驱 智动豪华版 7座 国VI  指导价：28.28万', '2019款380TSI 双离合 四驱 R-Line旗舰版 7座 国VI  指导价：31.18万', '2019款改款 280TSI 双离合 两驱 全景舒适版 国V  指导价：22.18万', '2019款改款 280TSI 双离合 两驱 全景舒适版 国VI  指导价：22.18万', '2019款改款 330TSI 双离合 两驱 全景舒适版 国V  指导价：24.08万', '2019款改款 330TSI 双离合 两驱 全景舒适版 国VI  指导价：24.08万', '2019款改款 330TSI 双离合 两驱 智动豪华版 国V  指导价：25.38万', '2019款改款 330TSI 双离合 两驱 智动豪华版 国VI  指导价：25.38万', '2019款改款 330TSI 双离合 两驱 R-Line旗舰版 国V  指导价：26.98万', '2019款改款 330TSI 双离合 两驱 R-Line旗舰版 国VI  指导价：26.98万']"
途昂,//img3.bitautoimg.com/autoalbum/files/20190102/298/0407052987_6.png,29.99-50.59万,29.99万,50.59万,"['2020款330TSI 两驱 舒适版 国V  指导价：30.09万', '2020款330TSI 两驱 豪华版 国V  指导价：33.09万', '2020款380TSI 四驱 舒适版 国V  指导价：32.09万', '2020款380TSI 四驱 豪华版 国V  指导价：35.99万', '2020款380TSI 四驱 旗舰版 国V  指导价：41.79万', '2020款530 V6 四驱 豪华版 国V  指导价：42.79万', '2020款530 V6 四驱 旗舰版 国V  指导价：47.69万', '2020款530 V6 四驱 尊崇旗舰版 国V  指导价：50.59万', '2020款330TSI 两驱 舒适版 国VI  指导价：29.99万', '2020款330TSI 两驱 豪华版 国VI  指导价：32.99万', '2020款380TSI 四驱 舒适版 国VI  指导价：31.99万', '2020款380TSI 四驱 豪华版 国VI  指导价：35.99万', '2020款380TSI 四驱 旗舰版 国VI  指导价：38.99万', '2020款530 V6 四驱 豪华版 国VI  指导价：41.99万', '2020款530 V6 四驱 旗舰版 国VI  指导价：44.99万', '2020款530 V6 四驱 尊崇旗舰版 国VI  指导价：45.99万']"
途铠,//img2.bitautoimg.com/autoalbum/files/20190314/804/0324388049_6.png,11.49-15.99万,11.49万,15.99万,"['2019款280TSI 双离合 豪华版  指导价：15.99万', '2019款280TSI 双离合 舒适版  指导价：14.79万', '2019款1.5L 手自一体 舒适版  指导价：13.99万', '2019款1.5L 手自一体 风尚版  指导价：12.79万', '2020款1.5L 手动 风尚版  指导价：11.49万', '2020款1.5L 手自一体 风尚版  指导价：12.79万', '2020款1.5L 手自一体 舒适版  指导价：13.99万', '2020款280TSI 双离合 舒适版  指导价：14.79万', '2020款280TSI 双离合 豪华版  指导价：15.99万']"
探歌,//img4.bitautoimg.com/autoalbum/files/20190102/642/1013046423_6.png,13.58-20.38万,13.58万,20.38万,"['2020款200TSI 手动 两驱 时尚型  指导价：13.58万', '2020款230TSI 双离合 两驱 时尚型  指导价：14.98万', '2020款230TSI 双离合 两驱 进取型  指导价：15.58万', '2020款280TSI 双离合 两驱 进取型  指导价：16.08万', '2020款280TSI 双离合 两驱 舒适型  指导价：17.08万', '2020款280TSI 双离合 两驱 豪华型  指导价：18.58万', '2020款280TSI 双离合 四驱 舒适型  指导价：18.88万', '2020款280TSI 双离合 四驱 豪华型  指导价：20.38万', '2020款230TSI 双离合 R-Line  指导价：15.88万', '2020款280TSI 双离合 R-Line  指导价：16.38万', '2020款280TSI 双离合 R-Line Pro  指导价：17.68万']"
途观,//img1.bitautoimg.com/autoalbum/files/20181213/999/0143029995_6.jpg,19.48-23.18万,19.48万,23.18万,"['2016款280TSI 双离合 两驱 丝绸之路风尚版  指导价：19.48万', '2016款280TSI 双离合 两驱 丝绸之路舒适版  指导价：22.08万', '2017款300TSI 手自一体 两驱 丝绸之路风尚版  指导价：20.68万', '2017款300TSI 手自一体 两驱 丝绸之路舒适版  指导价：23.18万']"
探影,//img1.bitautoimg.com/autoalbum/files/20191028/545/1021325456_6.jpg,11.49-15.99万,11.49万,15.99万,"['2020款280TSI 双离合 R-Line  指导价：15.09万', '2020款280TSI  双离合 悦Pro  指导价：15.99万', '2020款1.5L 手动 尚  指导价：11.49万', '2020款280TSI 双离合 星耀限量版  指导价：14.79万', '2020款1.5L 手自一体 尚  指导价：12.49万', '2020款1.5L 手自一体 悦  指导价：13.99万', '2020款1.5L 手自一体 R-Line  指导价：14.29万', '2020款1.5L 手自一体 悦Pro  指导价：15.19万']"
探岳X,//img1.bitautoimg.com/autoalbum/files/20200619/889/0415468894_6.jpg,23.58-29.58万,23.58万,29.58万,"['2020款380TSI 四驱 尊崇智联版  指导价：29.58万', '2020款330TSI 两驱 尊贵智联版  指导价：23.58万', '2020款330TSI 两驱 旗舰智联版  指导价：24.98万', '2020款380TSI 四驱 旗舰智联版  指导价：27.48万']"
途昂X,//img1.bitautoimg.com/autoalbum/files/20190416/056/1215330566_6.jpg,28.99-43.99万,28.99万,43.99万,"['2019款380TSI 四驱 尊崇豪华版  指导价：34.99万', '2019款530 V6 四驱 尊崇旗舰版  指导价：43.99万', '2019款380TSI 四驱 豪华版  指导价：30.99万', '2019款530 V6 四驱 尊崇豪华版  指导价：40.99万', '2019款330TSI 两驱 尊崇豪华版  指导价：31.99万', '2019款330TSI 两驱 豪华版  指导价：28.99万', '2020款雷霆定制版 380TSI 四驱 尊崇豪华版  指导价：37.49万', '2020款330TSI 两驱 豪华版  指导价：28.99万', '2020款380TSI 四驱 豪华版  指导价：30.99万', '2020款330TSI 两驱 尊崇豪华版  指导价：31.99万', '2020款380TSI 四驱 尊崇豪华版  指导价：34.99万', '2020款530 V6 四驱 尊崇豪华版  指导价：40.99万', '2020款530 V6 四驱 尊崇旗舰版  指导价：43.99万']"
途锐,//img3.bitautoimg.com/autoalbum/files/20180911/623/0542406239_6.png,56.98-82.18万,56.98万,82.18万,"['2019款2.0TSI 领航版 国VI  指导价：56.98万', '2020款3.0TSI 百万纪念版 国VI  指导价：75.68万', '2019款2.0TSI 锐翼版 国VI  指导价：61.98万', '2019款3.0TSI 锐锋版 国VI  指导价：70.98万', '2019款3.0TSI 锐智版 国VI  指导价：81.98万', '2020款3.0TSI 锐尊版  指导价：82.18万', '2020款3.0TSI 锐享版  指导价：71.88万']"
途观L 插电混动,//img4.bitautoimg.com/autoalbum/files/20180927/073/0409530731_6.png,26.58-32.58万,26.58万,32.58万,"['2019款430PHEV 双离合 豪华版  指导价：31.58万', '2019款430PHEV 双离合 旗舰版  指导价：32.58万', '2020款430PHEV 双离合 尊贵版  指导价：26.58万', '2020款430PHEV 双离合 旗舰版  指导价：27.58万']"
探岳GTE 插电混动,//img3.bitautoimg.com/autoalbum/files/20200414/529/0201435292_6.jpg,24.98-25.98万,24.98万,25.98万,"['2020款1.4T 双离合 豪华型  指导价：24.98万', '2020款1.4T 双离合 尊贵型  指导价：25.98万', '2020款改款 1.4T 双离合 豪华型  指导价：24.98万']"
Tiguan,//img1.bitautoimg.com/autoalbum/files/20180802/160/0459231608_6.png,23.98-35.08万,23.98万,35.08万,"['2019款280TSI 两驱 精英版  指导价：23.98万', '2019款330TSI 四驱 创睿版  指导价：29.88万', '2019款330TSI 四驱 高配版  指导价：31.58万', '2019款380TSI 四驱 R-Line  指导价：35.08万']"
途锐 插电混动,//img4.bitautoimg.com/autoalbum/files/20190528/026/0617560266_6.jpg,暂无,暂无,暂无,['2020款顶配版  暂无报价']
